Trial,Species,Size,Date,Rate,file.id,,,,
max,gambusia,NA,11/28/2023,0.284479,adavis_ctmax_gambusia_28NOV23,,,,
max,sailfin,NA,12/2/2023,0.233267,adavis_ctmax_sailfin_2DEC23,,,,
max,sailfin,NA,11/19/2023,0.169185,adavis_ctmax_sailfin_19NOV23,,,,
max,swordtail,large,11/16/2023,0.277966,adavis_ctmax_swdlg_16NOV23,,,,
max,gambusia,NA,11/10/2023,0.256028,mckelvey_ctmax_mosquitofish_10nov23,,,,
max,gambusia,NA,11/17/2023,0.28069,mckelvey_ctmax_mosquitofish_17nov23,,,,
max,gambusia,NA,10/26/2023,0.28749,mckelvey_ctmax_mosquitofish_26oct23,,,,
max,gambusia,NA,11/28/2023,0.309421,mckelvey_ctmax_mosquitofish_28nov23,,,,
max,sailfin,NA,11/6/2023,0.285062,mckelvey_ctmax_sailfins_6nov23,,,,
max,sailfin,NA,10/24/2023,0.290027,mckelvey_ctmax_sailfins_24oct23,,,,
max,sailfin,NA,11/30/2023,0.282482,mckelvey_ctmax_sailfins_30nov23,,,,
max,swordtail,large,11/2/2023,0.265356,mckelvey_ctmax_sword-large_2nov23,,,,
max,swordtail,large,10/17/2023,0.271652,mckelvey_ctmax_sword-large_101723,,,,
max,swordtail,small,11/2/2023,0.268497,mckelvey_ctmax_sword-small_2nov23,,,,
max,swordtail,small,11/13/2023,0.269521,mckelvey_ctmax_sword-small_13nov23,,,,
max,swordtail,small,10/19/2023,0.280291,mckelvey_ctmax_sword-small_101923,,,,
min,sailfin,NA,17-Nov-23,-0.09291,adavis_ctmin_sailfin_17NOV23,,,,
min,swordtail,large,14-Nov-23,-0.09137,adavis_ctmin_swordtail-large_14NOV23,,,,
min,gambusia,NA,1-Dec-23,-0.10792,adavis_ctmin-mosquitofish_1DEC23,,,,
min,sailfin,NA,30-Nov-23,-0.08056,adavis_ctmin-sailfin_30NOV23,,,,
min,swordtail,large,20-Oct-23,-0.10174,davis_ctmin_sword-large_20oct23,,,,
min,swordtail,small,16-Oct-23,-0.07234,davis_ctmin_sword-small_16oct23,,,,
min,gambusia,NA,1-Dec-23,-0.10741,mckelvey_ctmin_mosquitofish_1dec23,,,,
min,gambusia,NA,7-Nov-23,-0.04734,mckelvey_ctmin_mosquitofish_7nov23,,,,NOTE: only captured from ~8deg to end; does not include starting temps
min,gambusia,NA,23-Oct-23,-0.115,mckelvey_ctmin_mosquitofish_23oct23,,,,
min,sailfin,NA,9-Nov-23,-0.09307,mckelvey_ctmin_sailfins_9nov23,,,,
min,sailfin,NA,27-Nov-23,-0.1042,mckelvey_ctmin_sailfins_27nov23,,,,
min,sailfin,NA,27-Oct-23,-0.09371,mckelvey_ctmin_sailfins_27oct23,,,,
min,swordtail,large,30-Oct-23,-0.10462,mckelvey_ctmin_sword-large_30oct23,,,,
min,swordtail,small,16-Nov-23,-0.0978,mckelvey_ctmin_sword-small_16nov23,,,,
min,swordtail,small,31-Oct-23,-0.09787,mckelvey_ctmin_sword-small_31oct23,,,,
